id,name,symbol
0x0000000000085d4780b73119b644ae5ecd22b3760xb53c1a33016b2dc2ff3653530bff1848a515c8c5,TrueUSD,TUSD
0x004375dff511095cc5a197a54140a24efef3a4160xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Uniswap V2,AmmUniWBTCUSDC
0x03ab458634910aad20ef5f1c8ee96f1d6ac549190xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Rai Reflex Index,RAI
0x056fd409e1d7a124bd7017459dfea2f387b6d5cd0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Gemini dollar,GUSD
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,yearn.finance,YFI
0x0d8775f648430679a709e98d2b0cb6250d2887ef0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Basic Attention Token,BAT
0x0f5d2fb29fb7d3cfee444a200298f468908cc9420xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Decentraland MANA,MANA
0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DefiPulse Index,DPI
0x1eff8af5d577060ba4ac8a29a13525bb0ee2a3d50xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Balancer Pool Token,AmmBptWBTCWETH
0x1f9840a85d5af5bf1d1762f925bdaddc4201f9840xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Uniswap,UNI
0x2260fac5e5542a773aa44fbcfedf7c193bc2c5990xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Wrapped BTC,AmmWBTC
0x2260fac5e5542a773aa44fbcfedf7c193bc2c5990xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Wrapped BTC,WBTC
0x2fdbadf3c4d5a8666bc06645b8358ab803996e280xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Uniswap V2,AmmUniYFIWETH
0x3da1313ae46132a397d90d95b1424a9a7e3e0fce0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Uniswap V2,AmmUniCRVWETH
0x408e41876cccdc0f92210600ef50372656052a380xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Republic Token,REN
0x43ae24960e5534731fc831386c07755a2dc33d470xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Uniswap V2,AmmUniSNXWETH
0x4fabb145d64652a948d72533023f6e7a623c7c530xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Binance USD,BUSD
0x50379f632ca68d36e50cfbc8f78fe16bd1499d1e0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Gelato Uniswap DAI/USDC LP,AmmGUniDAIUSDC
0x514910771af9ca656af840dff83e8264ecf986ca0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,ChainLink Token,LINK
0x57ab1ec28d129707052df4df418d58a2d46d5f510xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Synth sUSD,SUSD
0x59a19d8c652fa0284f44113d0ff9aba70bd46fb40xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Balancer Pool Token,AmmBptBALWETH
0x6b175474e89094c44da98b954eedeac495271d0f0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Dai Stablecoin,AmmDAI
0x6b175474e89094c44da98b954eedeac495271d0f0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Dai Stablecoin,DAI
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae90xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Aave Token,AAVE
0x853d955acef822db058eb8505911ed77f175b99e0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Frax,FRAX
0x8798249c2e607446efb7ad49ec89dd1865ff42720xb53c1a33016b2dc2ff3653530bff1848a515c8c5,SushiBar,XSUSHI
0x8bd1661da98ebdd3bd080f0be4e6d9be8ce9858c0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Uniswap V2,AmmUniRENWETH
0x8e870d67f660d95d5be530380d0ec0bd388289e10xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Paxos Standard,PAX
0x956f47f50a910163d8bf957cf5846d573e7f87ca0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Fei USD,FEI
0x9f8f72aa9304c8b593d555f12ef6589cc3a579a20xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Maker,MKR
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,USD Coin,AmmUSDC
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USD Coin,USDC
0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b9740xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Uniswap V2,AmmUniLINKWETH
0xa478c2975ab1ea89e8196811f51a7b7ade33eb110xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Uniswap V2,AmmUniDAIWETH
0xa693b19d2931d498c5b318df961919bb4aee87a50xb53c1a33016b2dc2ff3653530bff1848a515c8c5,UST (Wormhole),UST
0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d50xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Uniswap V2,AmmUniDAIUSDC
0xae7ab96520de3a18e5e111b5eaab095312d7fe840xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Liquid staked Ether 2.0,STETH
0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Uniswap V2,AmmUniUSDCWETH
0xb6909b960dbbe7392d405429eb2b3649752b48380xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Uniswap V2,AmmUniBATWETH
0xba100000625a3754423978a60c9317c58a424e3d0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Balancer,BAL
0xbb2b8038a1640196fbe3e38816f3e67cba72d9400xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Uniswap V2,AmmUniWBTCWETH
0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Synthetix Network Token,SNX
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc20xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Wrapped Ether,AmmWETH
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc20xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Wrapped Ether,WETH
0xc18360217d8f7ab5e7c516566761ea12ce7f9d720xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Ethereum Name Service,ENS
0xc2adda861f89bbb333c90c492cb837741916a2250xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Uniswap V2,AmmUniMKRWETH
0xd2eec91055f07fe24c9ccb25828ecfefd4be0c410xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Gelato Uniswap USDC/USDT LP,AmmGUniUSDCUSDT
0xd3d2e2692501a5c9ca623199d38826e513033a170xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Uniswap V2,AmmUniUNIWETH
0xd46ba6d942050d489dbd938a2c909a5d5039a1610xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Ampleforth,AMPL
0xd5147bc8e386d91cc5dbe72099dac6c9b99276f50xb53c1a33016b2dc2ff3653530bff1848a515c8c5,renFIL,RENFIL
0xd533a949740bb3306d119cc777fa900ba034cd520xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Curve DAO Token,CRV
0xdac17f958d2ee523a2206206994597c13d831ec70xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Tether USD,AmmUSDT
0xdac17f958d2ee523a2206206994597c13d831ec70xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Tether USD,USDT
0xdd974d5c2e2928dea5f71b9825b8b646686bd2000xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Kyber Network Crystal,KNC
0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,Uniswap V2,AmmUniAAVEWETH
0xe41d2489571d322189246dafa5ebde1f4699f4980xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x Protocol Token,ZRX
0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,Enjin Coin,ENJ
