id,pool,user,reserve,borrowRateModeFrom,borrowRateModeTo,stableBorrowRate,variableBorrowRate,timestamp
15244152:219:0xe02321e2298e16e2872bbb68560e49debe1916b9fd99cafe0d43d97760737648:385:385,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xde76a1d4b8afceef96b41203802ae022b2dea81d,USDT,Variable,Stable,113770736033684157057581366,27541472067368314115162732,1659188892
15236638:105:0x57d7db208af4a79e33c789e40d8b71cdf6a1c982b95875f16b8b5ff1ca8878a5:180:180,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x7b503004695502299efb5cfd62c34cc093e0255f,WETH,Stable,Variable,57306676768483497057006290,20480007576362622792754717,1659088109
15236270:126:0x30e0e9d0a35fc6459591b5dba5d09f1e3169a20d9622c4d47e068e957318e876:234:234,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb5584bfdb0f869f35764f975da6c482e29e871c0,WETH,Variable,Stable,57080653394232348724401466,20310490045674261543301100,1659083108
15234101:100:0xe110fb585654b9306ef0e5204e674b144eeab9862339323ac90ba3a7fda16948:226:226,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x8041e7cd62d7356595a735d7af0f94d3460afa78,DAI,Stable,Variable,108849204021102382040053149,17698408042204764080106299,1659053287
15229802:529:0xe82b086306323b306b8ea1cd8f74bcd42823c0f172fcb5a7674e593eb1981706:588:588,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x0e0d4260540c13bf1f829512adf2ec6d6a73a1e7,WETH,Stable,Variable,58000760583879319400846931,21000570437909489550635199,1658995012
15225901:229:0x864042769e335fc69127d251a5a7c9153b75c19fef0c71c20681d17c7906a937:438:438,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf460b2fe6a42e0a23c3a1bf8f4794f437dac4b74,USDT,Stable,Variable,112994346793322131904516074,25988693586644263809032149,1658943471
15225807:316:0xda3e0eb4d751ea47201b9dbc5c8a5fb45a79dcd87a7f4d1500637d520a805348:593:593,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf460b2fe6a42e0a23c3a1bf8f4794f437dac4b74,USDT,Variable,Stable,112994340686773401452707104,25988681373546802905414208,1658942317
15225800:143:0xadf764a4eee2b7ca27e1ff3011fe4c5a080778d51a82c892e2a1476eb7d127c8:276:276,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf460b2fe6a42e0a23c3a1bf8f4794f437dac4b74,USDT,Stable,Variable,112994340316439905126848240,25988680632879810253696481,1658942247
15215652:138:0x18566112219b6713aa0ef6211c599eb940fdfa0261f57ce3ba7a3445869bd781:522:522,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xe9f3ba9d53ddb1dfb39e391476ee046c817e2326,USDC,Stable,Variable,97759210864478815916339627,15518421728957631832679253,1658805111
15193567:195:0xe819eeaf65614ddb10e51ca55e6aa757136e35391518aae170c7fdcdd212c6ee:286:286,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x1b7a9c831b4f2088fa6eae337088ae2fc9913ef5,DAI,Stable,Variable,108514253428981853064204420,17028506857963706128408840,1658508397
15165487:77:0x8c6b0c753189e7c32b1f9fb049df7d3597614dfb93a4ad5d72cc2585e31bd386:130:130,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd7bc8dabd0c0c9b45440299ef64af7f526278ccb,USDT,Stable,Variable,113612464605933767162210990,27224929211867534324421979,1658131892
15165111:112:0xa09f32547ffd22d69b21427a6fdc056ac6cc249ae84bb39a2711fa2c3e4fc8ca:255:255,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x2d1d3476dcb3c0ffa488122ffeca75d532ebe3b6,DAI,Stable,Variable,108332657850190801162086039,16665315700381602324172078,1658127036
15156253:115:0x0d39df30a0af8e65cbf6b53fbe1dc757e219e3b5bd16ee69147f9b49f95ce643:360:360,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf841a3f4b3bbbd935ed32afa004f1124b1f6d20c,USDC,Variable,Stable,97153923097566655572886497,14307846195133311145772994,1658008298
15152123:166:0x8e10687f0ca498bc954a9e3304dc1837ffa14a0f1223360230d0c7bb5047dcc4:274:274,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x5ca12f79e4d33b0bd153b40df59f6db9ee03482e,ENJ,Variable,Stable,63037020121752339922050351,44125914085226637945435244,1657953150
15136430:100:0xf8f20a2947b65dc8c2fe1acf885a7d1c76f9840c1a98b804b7760ca514287515:260:260,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3ca5cb491507b2acbc8e5c5e50c96b166f11fa2f,USDT,Variable,Stable,114031800215599879280610038,28063600431199758561220077,1657744211
15133584:77:0x03996d1a4bf43140c14f603a170355b1f3338c068da2bf328b1bc2ad11225fe8:297:297,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x52c1493b12758f06d069011db972e52a6440997e,WETH,Stable,Variable,55323251344817310905273551,18992438508612983178955163,1657705779
15130939:263:0x408b858ae1ee049eaa1b70cda24b117bc6cbc8eaec311cb106eb376e9d7cdf67:494:494,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x70ed0e7db53c021e46732d18e620d763ceef888f,USDC,Stable,Variable,96515802205875672974696303,13031604411751345949392606,1657669856
15119447:278:0x8d4cdc0348cc3bf3ab06316aa01bf76134736ec48980934b69aeaceded25eccb:656:656,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x0617458eaff690e5fe41594b5af262f056bded23,ZRX,Stable,Variable,45815416852791162124254300,11070791796953813486978011,1657516863
15098299:224:0xc3353db541a6e8a160c17ebee6d1074687ddf31a62fe22e8489ecbdab354b6b3:369:369,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x74fe8b5cdc480aa51511f7312fbaadcb4b1bd473,USDC,Variable,Stable,96718650196976105874928956,13437300393952211749857911,1657235776
15094023:202:0x936482e33df5faaefddf181501c1a04514af90d82c3ecd98a1f814571d8a576d:309:309,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x5825baed7acc447d48d97fd08274dc2c169ef7f1,WETH,Stable,Variable,56060779191599868049805677,19545584393699901037354257,1657178281
15087505:182:0x986bd59428a2ef2969fbdac6ef22f91876011d7829f0fab6bf24009e72902aeb:294:294,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x31f716ac0036b94cb68a42191abf5716a4739de3,USDT,Variable,Stable,112982796535090207576540588,25965593070180415153081176,1657091015
15081723:153:0xc0420c07aef2080c9b31d3608c16917a97d6d1bd9bf8358018c1cd8a09a9716e:330:330,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf79a35de4ce6c7d40f513e04915db2eab2f2fe2b,USDT,Variable,Stable,112883619881793592491293359,25767239763587184982586718,1657013938
15070516:297:0xe5730ce71b2b7c51853b6caa569fc18f1a27d8a8b479b01227dec75328915fc3:534:534,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x71fbfe41a9ddedd13ef25a337fae01438064a08d,USDT,Stable,Variable,113005642770735252645029585,26011285541470505290059171,1656863784
15066436:280:0x91b8d0e2c0bc2a7a29e117406f273fd3d703a14ca1d4dc1a72207ca8b26884ac:356:356,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x92b47d948124ddce7ba2e83d469ba37b456775ae,USDC,Stable,Variable,98291580474038184408076059,16583160948076368816152119,1656809982
15065683:87:0xfcfdd00b97e962df6d91dd72fb963666469db8aa23f39ba4da9d160438964df2:166:166,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xe0e75a9b83ac7e0b7d78ad10551bf8a1fbca733c,USDC,Stable,Variable,98285680656179018243243495,16571361312358036486486990,1656799581
15065298:105:0x95b84c6d864894175b2c065a9a5dd903866b921aac0d5b22cfa6b147488478de:315:315,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa2b5363bc52bcd11e431079b58413ffb1898d4f6,USDC,Variable,Stable,98281394275181438394886404,16562788550362876789772808,1656794471
15063119:56:0x5760717abc7e9c7d226d06d6384b3268b81ad6e6c9c987080a35add329e18107:111:111,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3deeacc5c9cd000dabf75444695feb88bdc3c115,USDT,Variable,Stable,112933507342911885658890777,25867014685823771317781553,1656765202
15063091:120:0x931052c2661aa2771fd1ffef1f9d1a3e80f080d31217a88467fce1d7578e9b4c:252:252,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x8fd19c19aacd4152303db586197f2a859f272af2,USDT,Variable,Stable,112933559804154799929951316,25867119608309599859902633,1656764786
15063015:224:0x5f5f2f8c94216a9781b5c7547e0a4c052f21539aae16eb220372351273855519:387:387,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x534a13b01ec0e03d5e681fa9cefcd4821e8a0bc4,USDT,Variable,Stable,112933554600422194644437675,25867109200844389288875351,1656763707
15062811:313:0x3b13211c5f3167e10f3b62217e4afa4dc91e7686956af579691df0fff4582c0a:434:434,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x671812758e4f0006052bb1fe3f99e95b98fbe02a,USDT,Variable,Stable,112933548520952332170255006,25867097041904664340510012,1656761022
15062759:397:0x4f9494cd26e9504cda4e51e1d0d12cf01430f788fc73948a81cb817d56061a75:588:588,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa76d3d369b3cdcd6582d67e2ce81768e865b48c1,USDT,Variable,Stable,112933544502235103716565667,25867089004470207433131334,1656760188
15061974:58:0x9e75d37390309b365d5fadc4b8e6517b890822c9e9266442d85ebd61a5f9418b:71:71,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x8f54d1cec3fb175db011db61a764e4b199b17ba0,USDC,Variable,Stable,99110941149128414428835167,18221882298256828857670334,1656749903
15057746:342:0x85dee61ca6953d8ce4685485cefb27a7ed1f6a462f2835a47b68e8e9252d38da:403:403,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x47ab2ba28c381011fa1f25417c4c2b2c0d5b4781,USDT,Stable,Variable,112113468898260731943576719,24226937796521463887153439,1656693951
15057738:50:0xbe096af2300fd300bd8026828716261c64e2c88b0d81b99972fd58a77bf28a6a:146:146,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x47ab2ba28c381011fa1f25417c4c2b2c0d5b4781,USDT,Variable,Stable,112113468557067976703704742,24226937114135953407409483,1656693883
15021171:30:0xc8c6e22868f33a68f650525b3dc69433ead27f564c9f230f95cd9c4e9e0df62a:47:47,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x6dd86088ebef2cf1c752bff837fd806e7dd946a4,WETH,Stable,Variable,50217310349027971869579832,15162982761770978902184874,1656119718
15019766:101:0x0c6f8a02efb67b69f67a646b0300a6a5b263363728b78bfa6c67507161695ab9:169:169,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd8dea6275144b0b5cb742771344a91f48eab4335,USDT,Variable,Stable,110492245421711404383263819,20984490843422808766527638,1656097375
15019700:426:0xfe706397c769e2ccce793a4b0f53b584b10fdf3177b6f318376abf96a9d33ed4:586:586,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xdc8eb8d2d1babd956136b57b0b9f49b433c019e3,USDT,Variable,Stable,110490888544959395080208949,20981777089918790160417899,1656096295
15013482:72:0x267b4ee9aa58a5a3de1696c400c58b0c196c337ae6b5c34ab4142dcb4cf4ca51:146:146,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x0fcdba0b4cdb877d99d77a259c5a0fd0f61636cf,USDC,Stable,Variable,98760503156737304282665813,17521006313474608565331626,1655996030
15013304:116:0x589be4a60d8a1cdd133b2bcc34921cabd66bfb44093f1e877bb36788a081849e:202:202,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x9b6cea9e33285fa9301d718d005c49485eb7c3d8,USDT,Stable,Variable,110112011173110512564813417,20224022346221025129626833,1655992929
15012742:73:0x788e8534aae9f59da2a9671b4bbbb5b5ec14944b849b85cb2449e12f0a14c4d2:143:143,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xbe3737790d0fd614525b7fe0cf5d107d6e2e85c2,DAI,Stable,Variable,114383694731093606393094126,28767389462187212786188251,1655983951
15012473:123:0x64cf6523926fb0b6e8ae9f2020afa2d560baf08899dd2af0c0904cc7c2fc32eb:235:235,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x2c126b050258b9c0bf911ad1e4d3ae966f1b57ea,USDC,Stable,Variable,98766961182191335010305518,17533922364382670020611036,1655980024
15012400:95:0x65746337ca2f33074fa9f645197742bac9283bab9ecb228e769f4536c64a5cb9:203:203,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x625d6d3f3b375e686642dc8d1d438ac58058d09c,USDT,Variable,Stable,110104983312253729613639465,20209966624507459227278930,1655978668
15000545:132:0xbb154139a23e7a07cc02f44227fb23813ad40800f6fb27ed886bd4bf4254b2c6:250:250,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x8b70d03dc120d116948b0bc2ec06babdb2f88b84,DAI,Variable,Stable,114589514278791484470323847,29179028557582968940647694,1655787143
14989362:67:0xb49f445702e09d98a256b492f67630ca2f5dff959232e330e009c94247f2cd91:129:129,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xbe9064c409224d858f5fb12a5d3e8e417d9e28b7,USDT,Stable,Variable,118784498168123637290830873,37568996336247274581661746,1655620324
14988154:164:0xae1b6054ca92f9e0ca052eba0379dafaba3e1f151e551a6fe9a9b0c06fd1cbea:271:271,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x083fc8658dedf597ad59d4e054daca06febb701c,USDT,Stable,Variable,118350907367358050840473159,36701814734716101680946318,1655602231
14988036:159:0x311bfb06bbd4298a0c4215397fbf61354722185a8871e19ed5d1967e7477f33c:188:188,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x7e204283c12687b8f657bc0dd254ffe79dfd4028,USDC,Stable,Variable,100023278643737339873765803,20046557287474679747531606,1655600249
14986256:16:0xab47812503f21830e51e6c50dd94e25f1cbaac41f986de8c07171a28bfeb1b9c:119:119,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xbe9064c409224d858f5fb12a5d3e8e417d9e28b7,USDT,Variable,Stable,119666422804437931871119479,39332845608875863742238958,1655574134
14985977:288:0x6509610e471c21e731e1925b7ce60590730bb7be9a4af6afae8fdcff3d93f525:452:452,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xe47d5cc33517d5b8433ff249efe094b989989acc,TUSD,Stable,Variable,106897937602162553597035488,13795875204325107194070976,1655570112
14985901:14:0x4bad40fdb298a1d5ef0e64bb0fde31ce176fdeb8731ee45eba2ee8a29583d909:65:65,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x4da08ac2e4e79678f218f134b0a6f8732ed5b5e4,USDC,Stable,Variable,100521771908153250913117776,21043543816306501826235552,1655568953
14985897:24:0xccac8e86313c09069a0142a43c7d8fcae02c4d5c5b2ae2dcda52c14acb349551:70:70,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x4da08ac2e4e79678f218f134b0a6f8732ed5b5e4,DAI,Stable,Variable,112531488504352314116855268,25062977008704628233710535,1655568882
14984414:35:0x6b695019c7a192ff01f190ceff9dade1c34850809b1618740c487bdcb1d686ea:77:77,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x7a840ed1845f401f8de79d2a1a9c1fb827e55648,DAI,Stable,Variable,111384806012421614263615265,22769612024843228527230530,1655547045
14962446:261:0xc98502c75a717695fe47ef7e6ba53ea50fe4cbb741fc7fa4fced4e2d8f0b135d:342:342,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x09db5490aa2e7c37f033dc6c6054308e4c7c7985,WETH,Stable,Variable,53062279202891464402409079,17296709402168598301806810,1655220582
14961134:369:0xce88e40275e4a0730518942a02f56cb456dc0cf8eca2482a83bf254a25a328b7:560:560,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x754c48538c2318f76917b8a2282a6d443dd4d0c2,DAI,Stable,Variable,113750603394834302052780098,27501206789668604105560196,1655200580
14956739:17:0x37f9dceb588e56cdfd69e7dc8a0b691fbbe813a034806b64fa49c66caa73618d:27:27,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xbacb58a5bd0e2df0b3d3e82a1c75ad565a417cd6,MANA,Variable,Stable,330825733988559166162427605,270825733988559166162427605,1655134784
14955526:333:0x74dd3b3dbde0def85ab3904801142eb9876a711c5878c026374bcd2eea17ce28:441:441,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x875f17446d19438d75b76059c70bf2bd17226030,USDT,Stable,Variable,110603212853042470364182443,21206425706084940728364887,1655116298
14955436:175:0x118298f7b66df9b8f2e87111ee6413eb8390305c0dc87e22780fa2e4611a9963:330:330,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x875f17446d19438d75b76059c70bf2bd17226030,DAI,Stable,Variable,113708609549842209389431847,27417219099684418778863695,1655115113
14955427:139:0x333c95711b97f8c3c6297e19e12b5b89bfafde3812f55b2cd89e0299ae09439a:357:357,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x875f17446d19438d75b76059c70bf2bd17226030,USDC,Stable,Variable,98946510181580214913250776,17893020363160429826501551,1655115023
14954522:320:0x28e08e83d70ef52698e1136f7a6307eeaa816e719220195135f142ccfca0cd33:499:499,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb81502b9abf2fa3c078ab0c9d7abf973d43cc3fa,DAI,Stable,Variable,113749554741538445546729221,27499109483076891093458443,1655101730
14944585:292:0xe2c10298d8e598b603a86080ef5aca4126f2f4beba19235f5cf11df902f6ae6e:342:342,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xc0b995706efa1134ed5137373691fe5955ed6657,USDT,Stable,Variable,111910934088819424000271906,23821868177638848000543813,1654955095
14936526:183:0x3f94fb4d0eef78d3d863b0a8f7bf7b44529c684dccaf3407d3ebcc617cf0fe61:331:331,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xbe68e47adebfc6ebdf97e29cd863f061c383d692,USDC,Variable,Stable,101238521419257610271813086,22477042838515220543626172,1654835573
14936522:104:0x0b3fe65e874389ada0ec08c17ea5706c12f6802aac3b18b720d83dc15685a5fc:162:162,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x012405e9ad437e086c4b52fdab3815a655a3c9a8,DAI,Variable,Stable,115616894592099768587724295,31233789184199537175448590,1654835520
14931472:268:0x4ad273d213528bf113aef26d306c1fe3956b83ca9aef76b945ee06294f28ac1e:583:583,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x540f45337b548824438a25734f429e4b4095476a,USDC,Variable,Stable,101366907625573497150363112,22733815251146994300726224,1654761281
14917674:195:0x111ccc94f337a68c27f6c8d4a8157071be6bc18c1ab7722e8e46ab533e0e6b5b:535:535,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x56897bd78ee42d0dda30e58a47ef3fa17805b56e,DAI,Variable,Stable,114888383829085297188595071,29776767658170594377190143,1654559049
14907227:78:0x2a2c0113cfed75a1f5c7e8921cc1cd5ded437b7ad85f7a7d732dca790999851c:58:58,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf6f9e2eb2df8dee61f11a4e2937f9f1936bf46d6,USDT,Stable,Variable,114380794849030614614246387,28761589698061229228492774,1654405758
